,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1126,7,2021 Tesla Model Y Long Range,68611,13243, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,33607,0,1
1127,8,2020 Kia Sorento LX,23772,57025, All-wheel Drive ,18–24,Gasoline ,8-Speed Automatic,3.3L V6 24V GDI DOHC,75228,3,3
1128,9,2019 Subaru Outback 2.5i Premium,24988,13232, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC,30096,1,1
1129,10,2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,146978,10708, All-wheel Drive ,14–18,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,32817,1,1
1130,11,2019 Lexus RX 350 Base,36990,45785, Front-wheel Drive ,20–28,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,28212,1,1
1131,12,2019 Hyundai Kona EV Ultimate,34474,21520, Front-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,53083,1,1
1132,13,2020 Land Rover Range Rover Velar S,47499,55016, Four-wheel Drive ,21–27,Gasoline ,Automatic,I4,98273,1,0
1133,14,2021 Toyota Highlander Platinum,51732,11581, All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,98034,3,3
1134,15,2018 Land Rover Range Rover Evoque SE Premium,33407,24765, Four-wheel Drive ,22–29,Gasoline ,Automatic,I4,32124,0,1
1135,16,2002 Pontiac Firebird Trans Am,35778,21572, Rear-wheel Drive ,None,Gasoline ,4-Speed Automatic,5.7L V8 16V MPFI OHV,98057,1,1
1136,17,2005 Aston Martin DB9 ,54950,26499, Rear-wheel Drive ,13–18,Gasoline ,6-Speed Automatic,6.0L V12 48V MPFI DOHC,98005,0,0
1137,18,2007 BMW 650 i,14995,51000, Rear-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,4.8L V8 32V MPFI DOHC,85257,3,3
1138,19,2020 Volkswagen Tiguan 2.0T S,24171,17177, Front-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,22150,1,1
1139,0,2016 Lexus GX 460 Luxury,38750,64012, Four-wheel Drive ,15–20,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,98409,0,1
1140,1,2019 Lexus IS 300 Base,30995,19768, All-wheel Drive ,19–26,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC,11373,3,3
